kd_klpd;nama_klpd;jenis_klpd;kd_satker;kd_satker_str;nama_satker
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179318;59110;Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Timur DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179319;89022;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sumatera Barat DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179323;329004;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kepulauan Riau DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179329;199010;Dinas Tenaga Kerja dan Trasmigrasi Provinsi Sulawesi Selatan DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179344;159187;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Selatan DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179345;259013;Dinas Perindustrian Perdagang Koperasi Usah Kecil Menegah dan Tenaga kerja Provinsi Papua DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179347;299018;Dinas Tenaga Kerja dan Transmigrasi Provinsi Banten DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179348;219006;Dinas Tenaga Kerja dan Transmigrasi Provinsi Maluku DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179355;169010;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Timur DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179370;189011;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Tengah DK 08 
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179404;149070;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Tengah DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179465;229016;Dinas Ketenagakerjaan dan Energi  Sumber Daya Mineral Provinsi Bali DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179479;169013;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Timur DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;179572;89026;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sumatera Barat DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;183030;159019;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Selatan DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;183459;159065;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Selatan DK 04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185146;169068;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Timur DK04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185149;239225;Dinas Tenaga Kerja dan Transmigrasi Provinsi Nusa Tenggara Barat DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185159;39011;Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Tengah DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185254;329008;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kepulauan Riau DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185263;169014;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Timur DK13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185349;79010;Dinas Ketenagakerjaan Provinsi Sumatera Utara DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185357;79009;Dinas Ketenagakerjaan Provinsi Sumatera Utara DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185428;339003;Dinas Transmigrasi dan Tenaga Kerja Provinsi Papua Barat DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185429;340015;Dinas Tenaga Kerja Provinsi Sulawesi Barat DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185498;79006;Dinas Ketenagakerjaan Provinsi Sumatera Utara DK 05
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185550;229017;Dinas Ketenagakerjaan dan Energi Sumber Daya Mineral Provinsi Bali DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185623;289009;Dinas Tenaga Kerja dan Transmigrasi Provinsi Maluku Utara DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185660;229063;Dinas Ketengakerjaan dan Energi Sumber Daya Mineral Provinsi Bali DK 04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185679;19041;Dinas Tenaga Kerja Transmigrasi dan Energi Provinsi DKI Jakarta DK 04 
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185680;39093;Dinas Tenaga Kerja dan Transmigrasi Provinsi Jawa Tengah DK 04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185681;159018;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Selatan DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185689;119008;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sumatera Selatan DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185690;119073;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sumatera Selatan DK 04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185691;119022;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sumatera Selatan DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185774;199013;Dinas Tenaga Kerja dan Transmigrasi Provinsi Sulawesi Selatan DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185878;69074;Dinas Tenaga Kerja dan Mobilitas Penduduk Provinsi Aceh DK 04
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;185879;69011;Dinas Tenaga Kerja dan Mobilitas Penduduk Provinsi Aceh DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;186871;239028;Dinas Tenaga Kerja dan Transmigrasi Provinsi Nusa Tenggara DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;186880;149022;Dinas Tenaga Kerja dan Transmigrasi Provinsi Kalimantan Tengah DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;224076;19013;Dinas Tenaga Kerja Transmigrasi dan Energi Provinsi DKI Jakarta DK 08
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;298197;49013;Dinas Tenaga Kerja dan Transmigrasi DI Yogyakarta DK 13
K34;Kementerian Ketenagakerjaan;KEMENTERIAN;305630;19015;Dinas Tenaga Kerja Transmigrasi dan Energi Provinsi DKI Jakarta DK 13
