Nama Instansi,Nama Satuan Kerja,Kode Paket,Kode RUP,Tahun Anggaran,Sumber Transaksi,Sumber Dana,Nama Penyedia,Metode Pengadaan,Jenis Pengadaan,Nama Paket,Status Paket,Total Nilai (Rp),Nilai PDN (Rp)
KEMENTERIAN KETENAGAKERJAAN,DITJEN PHI DAN JAMSOS - ,01KN61HE8MCR27WA638YG84SK9,65241383,2026,E-Katalog 6.0,APBN,KOBA PANGESTU,E-Purchasing,Jasa Lainnya,Paket Fullboard Meeting Penguatan Teknik PPHI Swasta (Luar Kota),PAYMENT OUTSIDE SYSTEM,163200000,163200000
KEMENTERIAN KETENAGAKERJAAN,POLITEKNIK KETENAGAKERJAAN - 352632,01KK8ZXQ7KXR50X2MJPM8WC4ZS,63952296,2026,E-Katalog 6.0,APBN,KHANZA MAHA TIRANA,E-Purchasing,Barang,Pembelian AC Split Kelas Baru,COMPLETED,435242100,435242100
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KNNMV4Z44X8GGSBAE9DADVRH,65871014,2026,E-Katalog 6.0,APBN,METROPOLITAN GOLDEN MANAGEMENT,E-Purchasing,Barang,"Paket Fullboard Moderator, Peserta dan Penyelenggara Sinergitas LKS Tripartit Nasional dan LKS Tripartit Daerah",PAYMENT OUTSIDE SYSTEM,99180000,99180000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KKFW2BQD8J9TN18GXG6XQB3A,66185882,2026,E-Katalog 6.0,APBN,SARANA MULIA,E-Purchasing,Barang,Belanja Bahan Project Based Learning A,COMPLETED,5997330,5997330
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS BANDUNG - 452542,01KK120BPJ5012S1V22BC8NDDW,63629896,2026,E-Katalog 6.0,APBN,BANGUN KARYA MANDIRI,E-Purchasing,Barang,Pakaian Kerja Project Based Learning,PAYMENT OUTSIDE SYSTEM,71757504,71757504
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KKZE3PTZ0KM17TGC52TFE5AK,66185950,2026,E-Katalog 6.0,APBN,BERKAH MAULANA YASIN,E-Purchasing,Barang,Belanja Bahan TMT Klaster,COMPLETED,6954705,6954705
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SERANG - 426531,01KMYVM7QW2RRF7BC8QSH9PY3T,66282159,2026,E-Katalog 6.0,APBN,PUTRA KARYA LANGGENG,E-Purchasing,Jasa Lainnya,Pengadaan Jasa Konsumsi Peserta Pelatihan Kegiatan PBK Reguler UPTD LK Kota Cilegon,COMPLETED,26294400,26294400
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KK5NPHJGSWYESCBTEW1XZ9ES,65232671,2026,E-Katalog 6.0,APBN,MIL PLATINUM BERSAUDARA SURABAYA,E-Purchasing,Jasa Lainnya,Paket Fullboard Meeting Panitia dan Peserta Fullboard (Peningkatan Kompetensi Teknis Mediator HI),COMPLETED,146300000,146300000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KKZCP9RB8GZA77P7YXYD8W9Y,66185950,2026,E-Katalog 6.0,APBN,MULIA JAYA ABADI,E-Purchasing,Barang,Belanja Bahan TMT Klaster,COMPLETED,19340196,19340196
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KJVWR55J4BRG655SS1JRD5GP,65992183,2026,E-Katalog 6.0,APBN,PAKONS HOTELINDO SUKSES,E-Purchasing,Jasa Lainnya,"Paket Fullboard Moderator, Penyelenggara, dan Peserta PEMASYARAKATAN HUBUNGAN INDUSTRIAL PANCASILA BAGI DUNIA USAHA  ",PAYMENT OUTSIDE SYSTEM,101200000,101200000
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KRB8KRCKN8X0HA112CBWHQ3P,66123883,2026,E-Katalog 6.0,APBN,INVESTAMA MENARA BAGUS,E-Purchasing,Jasa Lainnya,"Paket Meeting Fullboard Peserta, Penyelenggara, dan Moderator",COMPLETED,72000000,72000000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PERLUASAN KESEMPATAN KERJA - 259322,01KJRRRNNGVSEK7ZKFTG12NMG3,66023201,2026,E-Katalog 6.0,APBN,LINTAS TELEMATIKA NUSANTARA,E-Purchasing,Jasa Lainnya,Pengadaan Jasa Layanan Internet (periode Maret 2026),COMPLETED,28860000,28860000
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KMZ4T3720AY0238M3E5298Z3,66258191,2026,E-Katalog 6.0,APBN,ANDALAN BERSAMA HOSPITALITY GROUP,E-Purchasing,Jasa Lainnya,Paket Fullboard Peserta dan Panitia,COMPLETED,62700000,62700000
KEMENTERIAN KETENAGAKERJAAN,BALAI KESELAMATAN DAN KESEHATAN KERJA BANDUNG - 350079,01KKFGYC463GKK4MJ2YKJ2739H,63147455,2026,E-Katalog 6.0,APBN,FALIA PRATAMA,E-Purchasing,Barang,Bahan pengujian,PAYMENT OUTSIDE SYSTEM,60085410,60085410
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KMHEQBP9P0ZGHK0528YDTZP2,66185950,2026,E-Katalog 6.0,APBN,SETIA,E-Purchasing,Barang,Belanja Bahan TMT Klaster,COMPLETED,959373,959373
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KKZ9XGCJRZE9Z5JJNG6FG92N,66185950,2026,E-Katalog 6.0,APBN,TRI MUKTI PERKASA,E-Purchasing,Barang,Belanja Bahan TMT Klaster,COMPLETED,10368510,10368510
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KMQ99XPX2P68M6W15TTVVZE3,65232671,2026,E-Katalog 6.0,APBN,SERANG ASRI HOTEL,E-Purchasing,Jasa Lainnya,Paket Fullboard Meeting Panitia dan Peserta Fullboard (Peningkatan Kompetensi Teknis Mediator HI),COMPLETED,138600000,138600000
KEMENTERIAN KETENAGAKERJAAN,DITJEN. PEMBINAAN HUBUNGAN INDUSTRIAL DAN JAMINAN SOSIAL TENAGA KERJA - 451270,01KPD7VG27M21YMVS1KKMTZF7C,65992054,2026,E-Katalog 6.0,APBN,GRAHA SERAYA PRATAMA,E-Purchasing,Jasa Lainnya,"Paket Pertemuan Fullboard Peserta, Moderator dan Penyelenggara Identifikasi Analisis Pemetaan Kerawanan Hubungan Industrial  ",COMPLETED,167250000,167250000
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KHAN4M1KAB0Y555PPJ3V5ZAC,66185950,2026,E-Katalog 6.0,APBN,NARENDRA KARYA,E-Purchasing,Barang,Belanja Bahan TMT Klaster,COMPLETED,107772120,107772120
KEMENTERIAN KETENAGAKERJAAN,BALAI BESAR PELATIHAN VOKASI DAN PRODUKTIVITAS SEMARANG - 452609,01KKZ890GSPYKQA2G3K3ZH7T3Y,66185950,2026,E-Katalog 6.0,APBN,TRI MUKTI PERKASA,E-Purchasing,Barang,Belanja Bahan TMT Klaster,COMPLETED,10330770,10330770
